Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Registrar Horas de Trabajo,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Casos de prueba),Campo personalizado (Criterios de aceptacion),Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Team),Campo personalizado (Tipo),Campo personalizado (development),Comentario,Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Registro de empleados,DUMI-83,10515,Historia,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:44 PM,04/dic/25 11:16 AM,,,,0,*Yo como* administrador *quiero* registrar nuevos empleados con rol de vendedor *para* que puedan gestionar cotizaciones y pedidos internos.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,79800,600,79200,,"* Registrar un empleado con datos correctos y verificar que aparece en la lista de empleados y que su rol es {{seller}}.
* Intentar registrar un empleado con un correo existente y confirmar que aparece un mensaje de error y no se crea.
* Iniciar sesión con las credenciales del nuevo empleado y verificar que accede al panel de cotizaciones y pedidos internos.","* El formulario de registro de empleados debe incluir nombres, apellidos, correo electrónico y contraseña.
* El sistema asigna automáticamente el rol {{seller}} a los empleados creados, sin permitir otro rol en esta fase.
* El correo debe ser único; si ya existe se muestra un mensaje de error.
* Tras la creación, el empleado puede iniciar sesión con sus credenciales y acceder sólo a las secciones permitidas (cotizaciones y órdenes internas).",,0|i0005h:,Tablero Sprint 1,,,,{},,En curso,04/dic/25 11:14 AM,10469,DUMI-72,Autenticación y usuarios
Cierre de sesión,DUMI-84,10517,Historia,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:44 PM,04/dic/25 11:16 AM,,,,0,"*Yo como* usuario (administrador, empleado o cliente) *quiero* cerrar mi sesión *para* proteger la seguridad de mi cuenta.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,5400,0,5400,,"* Iniciar sesión, cerrar sesión y confirmar que se redirige a la página de inicio.
* Tras cerrar sesión, intentar acceder a una ruta protegida y verificar que se redirige a la página de inicio de sesión.","* Debe existir un botón o enlace visible para cerrar sesión en la interfaz.
* Al hacer clic en “Cerrar sesión” se eliminan los tokens de sesión y se redirige al usuario a la página de inicio.
* Después de cerrar sesión, si el usuario intenta acceder a una ruta protegida se le solicita iniciar sesión nuevamente.",,0|i0005i:,Tablero Sprint 1,,,,{},,En curso,04/dic/25 11:15 AM,10469,DUMI-72,Autenticación y usuarios
Registro de cliente,DUMI-85,10518,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:48 PM,04/dic/25 11:16 AM,,,,0,*Yo como* empleado *quiero* registrar un cliente *para* poder emitir cotizaciones y pedidos internos.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Registrar un cliente con datos completos y verificar que aparece en la lista.
* Intentar registrar un cliente con un campo obligatorio vacío y confirmar que no se guarda y se muestra un error.
* Registrar un cliente con un teléfono que contiene caracteres inválidos y verificar que se bloquea el registro.","* El formulario debe solicitar nombres, apellidos, teléfono y referencia (opcional).
* El teléfono debe cumplir un formato válido y longitud mínima; la referencia puede ser opcional.
* Al guardar, el cliente debe aparecer en la lista de clientes con un identificador único.
* Si faltan campos obligatorios se debe mostrar un mensaje de error y no guardar el registro.",,0|i0005i:z,Tablero Sprint 1,,,,{},,Por hacer,20/nov/25 12:48 PM,10470,DUMI-73,Gestión de clientes
Edición de cliente,DUMI-86,10519,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:49 PM,04/dic/25 11:17 AM,,,,0,*Yo como* empleado *quiero* editar la información de un cliente *para* mantener sus datos actualizados.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Editar el teléfono de un cliente y verificar que los cambios se guardan correctamente.
* Intentar eliminar los nombres de un cliente durante la edición y comprobar que se muestra un mensaje de error.
* Colocar un telefono con formato diferente al peruano, debe marcar un error","* Se debe permitir modificar teléfono y referencia de un cliente existente.
* Al guardar los cambios, la información actualizada se refleja inmediatamente en la vista de clientes.
* No se permiten campos vacíos en los campos obligatorios durante la edición.
* El formato del telefono debe seguir el estandar de numeros de peru",,0|i0005i:zi,Tablero Sprint 1,,,,{},,Por hacer,20/nov/25 12:49 PM,10470,DUMI-73,Gestión de clientes
Búsqueda de clientes,DUMI-87,10520,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:49 PM,04/dic/25 11:17 AM,,,,0,*Yo como* empleado *quiero* buscar clientes por nombre o teléfono *para* encontrarlos rápidamente al crear cotizaciones.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Introducir el nombre parcial de un cliente y verificar que aparecen sólo los clientes coincidentes.
* Introducir un teléfono completo y confirmar que aparece el cliente correcto.
* Escribir un término de búsqueda que no existe y comprobar que la lista se vacía o muestra un mensaje de “no se encontraron resultados”.","* Debe existir un campo de búsqueda que permita filtrar la lista de clientes por nombre, apellido o teléfono.
* Los resultados deben actualizarse en tiempo real a medida que se ingresa el término de búsqueda.
* La búsqueda debe ser insensible a mayúsculas y minúsculas.",,0|i0005i:zr,Tablero Sprint 1,,,,{},,Por hacer,20/nov/25 12:49 PM,10470,DUMI-73,Gestión de clientes
Registro de prenda,DUMI-88,10521,Historia,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:55 PM,04/dic/25 11:16 AM,,,,0,"*Yo como* administrador *quiero* registrar una prenda con sus tallas, género, imágenes y precio base *para* añadirla al inventario.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,111600,0,111600,,"* Crear una prenda con tres variantes (M masculino, M femenino, M unisex) e imágenes y verificar que se guarda correctamente y sin duplicados.
* Intentar agregar dos veces la misma combinación talla/género y comprobar que se bloquea y se muestra un mensaje.
* Introducir un precio negativo o no numérico y confirmar que se muestra un error de validación.","* El formulario debe solicitar nombre de la prenda, precio base, descripción, variantes de talla (2 a XXL) y género (masculino, femenino, unisex), y la posibilidad de añadir imágenes.
* Debe ser posible agregar un precio adicional por cada combinación de talla y género.
* No se permiten combinaciones duplicadas de talla y género; el sistema debe mostrar un error si se intenta duplicar.
* El precio base y los precios adicionales deben ser numéricos y positivos.",,0|i0005i:i,Tablero Sprint 1,,,,{},,En curso,04/dic/25 5:11 AM,10471,DUMI-74,Gestión de prendas
Modificación de prenda,DUMI-89,10522,Historia,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:55 PM,04/dic/25 11:16 AM,,,,0,*Yo como* administrador *quiero* editar la información de una prenda existente *para* actualizar sus detalles o desactivarla.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,55800,0,55800,,"* Cambiar el precio base de una prenda y verificar que se actualiza en la base de datos y en el catálogo.
* Eliminar una variante y confirmar que ya no aparece en la lista de variantes.
* Desactivar una prenda y comprobar que no se muestra en el catálogo público pero sigue visible para el administrador.","* Debe ser posible actualizar el nombre, precio base, descripción, imágenes y variantes de una prenda.
* Se pueden añadir o eliminar variantes respetando la regla de no duplicar talla y género.
* Se puede desactivar temporalmente una prenda para que no aparezca en el catálogo e‑commerce.",,0|i0005i:r,Tablero Sprint 1,,,,{},,En curso,04/dic/25 2:20 AM,10471,DUMI-74,Gestión de prendas
Búsqueda y filtrado de prendas,DUMI-90,10523,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:55 PM,04/dic/25 11:16 AM,,,,0,"*Yo como* usuario *quiero* buscar y filtrar prendas por nombre, talla o género *para* gestionar el inventario de manera eficiente.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Buscar una prenda por su nombre y verificar que los resultados son correctos.
* Aplicar un filtro de talla (por ejemplo “M”) y género (“unisex”) y comprobar que sólo se muestran las prendas con esa combinación.
* Realizar una búsqueda que no devuelva resultados y confirmar que se muestra un mensaje adecuado.","* Debe existir un buscador que filtre por nombre o descripción.
* Deben existir filtros por talla y género que se puedan combinar.
* Los resultados deben actualizarse sin recargar la página.",,0|i0005i:x,Tablero Sprint 1,,,,{},,Por hacer,04/dic/25 2:20 AM,10471,DUMI-74,Gestión de prendas
Crear cotización,DUMI-91,10524,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:58 PM,04/dic/25 11:25 AM,,,,0,"*Yo como* empleado *quiero* crear una cotización seleccionando prendas, tallas y cantidades *para* ofrecer un precio al cliente.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Crear una cotización con varias prendas y confirmar que el total calculado es correcto.
* Intentar crear una cotización sin seleccionar cliente y verificar que aparece un mensaje de error.
* Intentar crear una cotización sin artículos y comprobar que el sistema lo impide.","* Sólo los empleados autenticados pueden crear cotizaciones.
* La cotización debe incluir al menos una prenda; cada línea indica la prenda, la variante (talla y género), la cantidad y el precio unitario.
* El sistema calcula automáticamente el total de la cotización sumando los precios base y adicionales multiplicados por la cantidad.
* El estado inicial de la cotización es {{PENDING}}.
* No se puede crear una cotización para un cliente inexistente; es obligatorio seleccionar un cliente registrado.",,0|i0009j:,Tablero Sprint 2,,,,{},,Por hacer,20/nov/25 12:58 PM,10472,DUMI-75,Cotizaciones internas
Editar cotización,DUMI-92,10525,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:58 PM,04/dic/25 11:25 AM,04/dic/25 10:15 AM,,,0,"*Yo como* empleado *quiero* modificar los detalles de una cotización pendiente *para* ajustar prendas, tallas y cantidades antes de convertirla en orden.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Añadir una nueva prenda a una cotización pendiente y verificar que el total se actualiza correctamente.
* Modificar la cantidad de una línea existente y comprobar que el total recalculado es el esperado.
* Intentar editar una cotización que ya se convirtió en orden y confirmar que el sistema lo impide.","* *Estado:* Sólo se pueden editar cotizaciones en estado {{PENDING}}.
* *Edición Estructural:* Debe permitirse añadir o eliminar líneas de prenda y cambiar variantes (talla/género).
* *Edición de Personalización (Nuevo):* El sistema debe permitir ingresar o modificar la lista de personalización (metadata JSON: Nombre, Número, Notas) asociada a cada línea de la cotización.
* *Consistencia:* Al guardar, el total se recalcula automáticamente.
* *Restricción:* No se permite duplicar la misma variante en líneas separadas (se deben agrupar), pero sí se permite editar el detalle de personalización dentro de esa línea agrupada.",,0|i0009r:,Tablero Sprint 2,,,,{},,Por hacer,20/nov/25 12:58 PM,10472,DUMI-75,Cotizaciones internas
Cancelar cotización,DUMI-93,10526,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:58 PM,04/dic/25 11:26 AM,04/dic/25 10:24 AM,,,0,*Yo como* empleado *quiero* cancelar una cotización cuando el cliente ya no desea continuar *para* registrar la anulación.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Cancelar una cotización pendiente y verificar que su estado cambia a {{CANCELLED}} y que desaparece de la lista de cotizaciones activas.
* Intentar cancelar una cotización que ya se convirtió en orden y confirmar que el sistema lo impide.","* Sólo se pueden cancelar cotizaciones en estado {{PENDING}}; al cancelarla, su estado cambia a {{CANCELLED}}.
* Una cotización cancelada no puede convertirse en orden ni volver a estados anteriores.",,0|i0009t:,Tablero Sprint 2,,,,{},,Por hacer,20/nov/25 12:58 PM,10472,DUMI-75,Cotizaciones internas
Listar cotizaciones,DUMI-94,10527,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:58 PM,04/dic/25 11:26 AM,,,,0,*Yo como* empleado *quiero* ver la lista de mis cotizaciones con su estado *para* conocer el avance del proceso.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Crear varias cotizaciones y confirmar que aparecen en la lista con sus estados correctos.
* Aplicar un filtro por estado {{PENDING}} y comprobar que sólo se muestran las pendientes.
* Ordenar por monto total y verificar que la ordenación es correcta.","* Se debe mostrar una tabla con las cotizaciones creadas por el usuario, indicando el cliente, el total y el estado actual.
* Debe ser posible filtrar por estado ({{PENDING}}, {{APPROVED}}, {{REJECTED}}, {{CANCELLED}}).
* La lista debe poder ordenarse por fecha de creación o monto total.",,0|i0009u:,Tablero Sprint 2,,,,{},,Por hacer,20/nov/25 12:58 PM,10472,DUMI-75,Cotizaciones internas
